"Particulars","FG/RM/PM","Group","Sub-Group","UOM","Customer","Sale Group","GST","HSN/SAC"
"PM24- On The Run Trail Mixes Indian Masala Laminate Roll 30 gm","PM","Packaging","Roll","0.000","HOH/Common","PM","18%","3920"
"PM24- On The Run Trail Mix Orange Pepper Laminate Roll 30 gm","PM","Packaging","Roll","0.000","HOH/Common","PM","18%","3920"
"PM24- On The Run Trail Mix Peri Peri Laminate Roll 30 gm","PM","Packaging","Roll","0.000","HOH/Common","PM","18%","3920"
"PM24- On The Run Trail Mix Thai Chilly Laminate Roll 30 gm","PM","Packaging","Roll","0.000","HOH/Common","PM","18%","3920"
"PM24-Organic Carry Bag 500 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39231010"
"PM24-OTR Choco Almond Protein Bar Pouch 40 gm","PM","Packaging","Roll","0.000","HOH/Common","PM","18%","3923"
"PM24-Otr-Protein Bar 40 G","PM","Packaging","Pouch Roll","0.000","HOH/Common","PM","18%","3920"
"PM24-Otr-Protein Bar 80G","PM","Packaging","Pouch Roll","0.000","HOH/Common","PM","18%","3920"
"PM24-OTR Zig Zag Laminate 180 mm","PM","Packaging","Roll","0.000","HOH/Common","PM","18%","48239019"
"PM24-Oxygen Absorber For Pet 250 Gm-50 Cc 50 cc","PM","Packaging","Pet","0.000","GENERAL","PM","18%","38249090"
"PM24-Oxygen Absorber For Vacuum 10 Kg /500 Cc 500 cc","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","38249900"
"PM24- Pasting Work - Gift Items","PM","Packaging","Hamper","0.000","GENERAL","PM","18%","998513"
"PM24-Pet 800 gm Premium (Pista)","PM","Packaging","Pet","0.000","GENERAL","PM","18%","39239090"
"PM24-Pet 800 gm Regular (cred)","PM","Packaging","Pet","0.000","HOH/CRED","PM","18%","39239090"
"PM24-Pet Bottle Makhana 500 gm","PM","Packaging","Pet","0.000","GENERAL","PM","18%","39239090"
"PM24-Pet Cap 100 gm","PM","Packaging","Pet","0.000","GENERAL","PM","18%","39235010"
"PM24- Pet & Cap Black Cube (Seedless Dates) (Cred) 250 gm","PM","Packaging","Pet","0.000","HOH/CRED","PM","18%","39239090"
"PM24-Pet Square 250 gm Premium","PM","Packaging","Pet","0.000","GENERAL","PM","18%","39239090"
"PM24-Pet Wad for 100 gm","PM","Packaging","wad","0.000","GENERAL","PM","18%","70109000"
"PM24-Plain Laminate 125 mm 30 gm","PM","Packaging","Roll","0.000","GENERAL","PM","18%","3920"
"PM24-Plain Laminate 130 mm 30 gm","PM","Packaging","Roll","0.000","GENERAL","PM","18%","39209999"
"PM24-Plain Laminate 190 mm 100 gm","PM","Packaging","Roll","0.000","GENERAL","PM","18%","3920"
"PM24-Plain Laminate 230mm","PM","Packaging","Pouch Roll","0.000","GENERAL","PM","18%","39209999"
"PM24-Plain Laminate 230mm (With PCB Details)","PM","Packaging","PM","0.000","GENERAL","PM","18%","39209999"
"PM24-Plain Laminate 285 mm 250 gm","PM","Packaging","Roll","0.000","GENERAL","PM","18%","3920"
"PM24-Plain Laminate 375 mm 500 gm","PM","Packaging","Roll","0.000","GENERAL","PM","18%","3920"
"PM24-Plain Met Pouch (Ajfan) 80 x 150 Silver 100 gm","PM","Packaging","Pouch","0.000","Ajfan","PM","18%","39231010"
"PM24-Plain PP Lock Lid 50 gm","PM","Packaging","Cap","0.000","GENERAL","PM","18%","3923"
"PM24-Plain Sealing Wat 1000 gm","PM","Packaging","Wad","0.000","GENERAL","PM","18%","70109000"
"PM24-Plain Silver Roll 190 mm","PM","Packaging","Roll","0.000","GENERAL","PM","18%","3920"
"PM24-Plank Pudina Coated Peanuts 60 gm Digital","PM","Packaging","Pouch Roll","0.000","Vegan Bazar","PM","18%","48219090"
"PM24-Plank Sour Cream Puff 40 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","Vegan Bazar","PM","18%","48219090"
"PM24-Plank Wasabi Roasted Makhana 40 gm Digital","PM","Packaging","Pouch Roll","0.000","Vegan Bazar","PM","18%","48219090"
"PM24-PLASTIC BAG SILVER WITH ZIPPER (230mmX300mm) Extra Cheese Pouch 1kg - TPL","PM","Packaging","Pouch","0.000","TAJIR","PM","18%","(39239090)"
"PM24-Plastic Lid Big 430 ml","PM","Packaging","Cap","0.000","GENERAL","PM","18%","3923"
"PM24-Plastic Material Above 51 Mcr (10x16 PP)","PM","Packaging","PM","0.000","GENERAL","PM","18%","39239090"
"PM24-Plastic Material Above 51 Mcr (8x12x210 Pp) 2000 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39231010"
"PM24-Plastic Material Above 51 Mcr (8x8x210 Pp) 2000 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39011010"
"PM24-Pouch (Habit)1000 gm","PM","Packaging","Pouch","0.000","TAJIR","PM","18%","3923"
"PM24-Premia Gift Cover 400 gm","PM","Packaging","Sleeve","0.000","Dmart","PM","18%","3920"
"PM24-Premia Sticker Roll 100 gm","PM","Packaging","Roll","0.000","Dmart","PM","18%","3920"
"PM24-Premium Black Dates Old","PM","Packaging","label","0.000","GENERAL","PM","18%","8041090"
"PM24-Printing on Packing Material","PM","Packaging","PM","0.000","GENERAL","PM","18%","998540"
"PM24-Protine Bar Pack Of 12 Mocha Combo Pack 600 gm","PM","Packaging","Monocarton","0.000","HOH/Common","PM","18%","48191090"
"PM24-Prunes Pouch 300 Gm 6 x 9 ( 145 * 230 mm ) 300 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39231010"
"PM24-Prunes Pouch (Reliance-unbranded) 200 gm","PM","Packaging","Pouch","0.000","RELIANCE","PM","18%","39232990"
"PM24-Pvc Shrink Sleeve ( 55 Micron 120 x 170 mm ) 1000 gm","PM","Packaging","Shrink Sleeve","0.000","GENERAL","PM","18%","3920"
"PM24-Pvc Shrink Sleeve ( 55 Micron 130 x 160 mm ) 1000 gm","PM","Packaging","Shrink Sleeve","0.000","GENERAL","PM","18%","3920"
"PM24-Pvc Shrink Sleeve ( 55 Micron 165 x 125 mm ) 1000 gm","PM","Packaging","Shrink Sleeve","0.000","GENERAL","PM","18%","3920"
"PM24-Pvc Shrink Sleeve ( 55 Micron 200 x 255 mm ) 1000 gm","PM","Packaging","Shrink Sleeve","0.000","GENERAL","PM","18%","3920"
"PM24-Pvc Shrink Sleeve ( 55 Micron 210 x 80 mm ) 1000 gm","PM","Packaging","Shrink Sleeve","0.000","GENERAL","PM","18%","3920"
"PM24-Pvc Shrink Sleeve ( 55 Micron 225 x 80 mm ) 1000 gm","PM","Packaging","Shrink Sleeve","0.000","GENERAL","PM","18%","3920"
"PM24-Pvc Shrink Sleeve ( 55 Micron 255 x 80 mm ) 1000 gm","PM","Packaging","Shrink Sleeve","0.000","GENERAL","PM","18%","3920"
"PM24-Pvc Shrink Sleeve ( 55 Micron 260 x 280 mm ) 1000 gm","PM","Packaging","Shrink Sleeve","0.000","GENERAL","PM","18%","3920"
"PM24-Pvc Shrink Sleeve ( 55 Micron 300 x 80 mm ) 1000 gm","PM","Packaging","Shrink Sleeve","0.000","GENERAL","PM","18%","3920"
"PM24-Pvc Shrink Sleeve ( 55 Micron 375 x 470 mm ) 1000 gm","PM","Packaging","Shrink Sleeve","0.000","GENERAL","PM","18%","3920"
"PM24-Pvc Tub Sealing Roll 3000 gm","PM","Packaging","Roll","0.000","GENERAL","PM","18%","3920"
"PM24-Qwik Sanx Cashew & Almond Pouch Roll 25g","PM","Packaging","Pouch Roll","0.000","Dmart","PM","18%","39232990"
"PM24-Qwik Sanx Chatpata Cranberry 30g Pouch Roll","PM","Packaging","Pouch Roll","0.000","Dmart","PM","18%","39201011"
"PM24-Raisin Standy Pouch Zip Lock 250 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","3923"
"PM24-Rajat Blue Pouch 200 gm","PM","Packaging","Pouch","0.000","JTC","PM","18%","3923"
"PM24-Rajat Green Pouch 200 gm","PM","Packaging","Pouch","0.000","JTC","PM","18%","3923"
"PM24-Rajat Maroon Pouch 200 gm","PM","Packaging","Pouch","0.000","JTC","PM","18%","3923"
"PM24-Red Basket","PM","Packaging","Hamper-Basket","0.000","HOH/Common","PM","18%","39249090"
"PM24-Reliance Khoj Cube Container 1000 Ml (Jar 500 Gm/ 600 Gm) With White Cap, Iwad 500 gm","PM","Packaging","Pet","0.000","RELIANCE","PM","18%","39239090"
"PM24-Rhine Valley Almond & Coffee Bar Pouch Roll 50gm","PM","Packaging","Pouch Roll","0.000","Cococart","PM","18%","19042000"
"PM24-Rhine Valley Almond & Cranberry Bar Pouch Roll 50gm","PM","Packaging","Pouch Roll","0.000","Cococart","PM","18%","19042000"
"PM24-Rhine Valley Almond & Orange D Chocolate Date Bar Pouch Roll 50gm","PM","Packaging","Pouch Roll","0.000","Cococart","PM","18%","39209999"
"PM24-Rhine Valley Barbeque Trail Mix 100 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","Cococart","PM","18%","48219090"
"PM24-Rhine Valley Black Pepper Trail Mix 100 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","Cococart","PM","18%","48219090"
"PM24-Rhine Valley Fruit & Nut Bar Pouch Roll 50gm","PM","Packaging","Pouch Roll","0.000","Cococart","PM","18%","20079990"
"PM24-Rhine Valley Himalayan Pink Salt Trail Mix 100 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","Cococart","PM","18%","48219090"
"PM24-Rhine Valley Peri Peri Trail Mix 100 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","Cococart","PM","18%","48219090"
"PM24-Rhine Valley Raspberry, Almond & D Chocolate Bar Pouch Roll 50gm","PM","Packaging","Pouch Roll","0.000","Cococart","PM","18%","39209999"
"PM24-Rhine Valley Rose & Pistachio Bar Pouch Roll 50gm","PM","Packaging","Pouch Roll","0.000","Cococart","PM","18%","39209999"
"PM24-Ribbon Premium Wax Resin (105 x 300 mm)","PM","Packaging","Ribbon","0.000","BIG BASKET","PM","18%","39232990"
"PM24-Royal Delight Ajwa Dates Top 500 gm","PM","Packaging","Top","0.000","HOH/Common","PM","18%","48191010"
"PM24-Royal Delight Ajwa Pouch 250 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","3923"
"PM24-Royal Delight Arabian Dates 2 Ply Sealing Standy Zipper Pouch (240mmx185mm) 500 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","39231010"
"PM24-Royal Delight Arabian Dates Pouch (150mm x 225mm) 250 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","39231010"
"PM24-Royal Delight Assorted Dates Top 500 gm","PM","Packaging","Top","0.000","HOH/Common","PM","18%","48191010"
"PM24-Royal Delight Buman Dates Top (Cred) 300 gm","PM","Packaging","Top","0.000","HOH/CRED","PM","18%","48191010"
"PM24-Royal Delight Date Mewa Assorted Sleeve 210 gm","PM","Packaging","Monocarton","0.000","HOH/Common","PM","18%","48219010"
"PM24-Royal Delight Deglet Dates Top (Cred) 300 gm","PM","Packaging","Top","0.000","HOH/CRED","PM","18%","48191010"
"PM24-Royal Delight Deri 30 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","48219090"
"PM24-Royal Delight Deri Dates Top (Cred) 350 gm","PM","Packaging","Top","0.000","HOH/CRED","PM","18%","48191010"
"PM24-Royal Delight Fard Dates Top (Cred) 350 gm","PM","Packaging","Top","0.000","HOH/CRED","PM","18%",""
"PM24-Royal Delight Khalas Dates Pouch Sample Pouch 30 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","48219090"
"PM24-Royal Delight Khenaizi Dates Top (Cred) 350 gm","PM","Packaging","Top","0.000","HOH/CRED","PM","18%","48191010"
"PM24-Royal Delight Kimia Dates 250 gm Label","PM","Packaging","Label","0.000","HOH/Common","PM","18%","48219010"
"PM24-Royal Delight Kimia Dates Top 1000 gm","PM","Packaging","Top","0.000","HOH/Common","PM","18%","48191010"
"PM24-Royal Delight Mabroom Dates Top 500 gm","PM","Packaging","Top","0.000","HOH/Common","PM","18%","48191010"
"PM24-Royal Delight Mabroom Pouch 250 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","3923"
"PM24-Royal Delight Medjoul Dates 30 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","48219090"
"PM24-Royal DelightMedjoul Pouch 250 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","3923"
"PM24-Royal Delight Medjoul-Sample Pouch 10-12 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","48219090"
"PM24-Royal Delight-Oman Pouch 155 x 230 mm 400 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","39232990"
"PM24-Royal Delight Oman Pouch 400 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","39231010"
"PM24-Royal Delight Oriental Dates 30 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","HOH/Common","PM","18%","48219090"
"PM24-Royal Delight Oriental Dates Top 500 gm","PM","Packaging","Top","0.000","HOH/Common","PM","18%","48191010"
"PM24-Royal Delight Safavi 5Kg Top","PM","Packaging","Top","0.000","HOH/Common","PM","18%","3923"
"PM24-Royal Delight Safavi Back Label 500 gm","PM","Packaging","Label","0.000","HOH/Common","PM","18%","48219010"
"PM24-Royal Delight Safavi Dates 30 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","48219090"
"PM24-Royal Delight Safavi Dates Top 500 gm","PM","Packaging","Top","0.000","HOH/Common","PM","18%","48191010"
"PM24-Royal Delight Safavi Pouch 250 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","3923"
"PM24-Royal Delight Safavi-Sample Pouch 10-12 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","48219090"
"PM24-Royal Delight Safavi Seedless Back Label 300 gm","PM","Packaging","Label","0.000","HOH/Common","PM","18%","4819"
"PM24-Royal Delight Safavi Seedless Back Label 500 gm","PM","Packaging","Label","0.000","HOH/Common","PM","18%","48219010"
"PM24-Royal Delight Safavi Seedless Front Label 300 gm","PM","Packaging","Label","0.000","HOH/Common","PM","18%","48219010"
"PM24-Royal Delight Sagai Dates Top (Cred) 350 gm","PM","Packaging","Top","0.000","HOH/CRED","PM","18%","48191010"
"PM24-Royal Delight Sayar Dates Top (Cred) 350 gm","PM","Packaging","Top","0.000","HOH/CRED","PM","18%","48191010"
"PM24-Royal Delight Stuffed Dates Orange Peel 30 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","48219090"
"PM24-Royal Delight Uae Dates Top 500 gm","PM","Packaging","Top","0.000","HOH/Common","PM","18%","48191010"
"PM24-Royal Delight Zahidi Dates Top (Cred) 350 gm","PM","Packaging","Top","0.000","HOH/CRED","PM","18%","48191010"
"PM24-Sample Pouch 30 gm Digital","PM","Packaging","Pouch Roll","0.000","GENERAL","PM","18%","48219090"
"PM24-Seed Mix 250 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","HOH/Common","PM","18%","48219090"
"PM24-Seed Mix 280gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","HOH/Common","PM","18%","48219090"
"PM24-Self Adhesivetape 60mm x 64.389 Mtr With Candor Name-Printed 180 gm","PM","Packaging","Roll","0.000","GENERAL","PM","18%","39191000"
"PM24-Silver Diwali Laminated 3 side seal Pouch 155 x 205 mm 100 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","3923"
"PM24-Silver Plain Pouch 500 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","3923"
"PM24-Silver Pouches for On The Run 5 Grain Cereal 470 G (10*12) Centre Seal 50 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","3923"
"PM24-Silver Roll 190 mm-Plain 100 gm","PM","Packaging","Roll","0.000","GENERAL","PM","18%","3920"
"PM24-Silver Roll 285mm-Plain 500 gm","PM","Packaging","Roll","0.000","GENERAL","PM","18%","3920"
"PM24-Silver Small Pouch-3 Side Seal 50 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","3923"
"PM24-Small Round White Coated Tin Llid Withprinted Design 30 gm","PM","Packaging","Tin","0.000","GENERAL","PM","18%","73102110"
"PM24-Small Wad Reliance Pgp-Induction Seal Wad For 500 Ml Round Glass Jar With See Through Screw Type Cap 250 gm written","PM","Packaging","Wad","0.000","RELIANCE","PM","18%","08021200"
"PM24-Snack Amor Roasted Cashew 170 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","Kriska Genesis","PM","18%","48219090"
"PM24-Snack Amor Walnut 250 gm Pouch Digital","PM","Packaging","Pouch Roll","0.000","Kriska Genesis","PM","18%","48219090"
"PM24 - Snactac Almond Pouch Roll 42 gm","PM","Packaging","Pouch Roll","0.000","RELIANCE","PM","18%","3920"
"PM24 - Snactac Cahew Pouch Roll 36 gm","PM","Packaging","Pouch Roll","0.000","RELIANCE","PM","18%","3920"
"PM24 - Snactac Carton Partition 300 gm","PM","Packaging","Partition ","0.000","RELIANCE","PM","18%","3920"
"PM24-Snactac Display Carton 300 gm","PM","Packaging","Carton","0.000","RELIANCE","PM","18%","4819"
"PM24 - Snactac Pista Pouch Roll 30 gm","PM","Packaging","Pouch Roll","0.000","RELIANCE","PM","18%","3920"
"PM24-Solimo  Dried Apricots 500 gm","PM","Packaging","Monocarton ","0.000","AMAZON","PM","18%","4819"
"PM24-Solimo Macadamia Nuts 250 gm","PM","Packaging","Pouch","0.000","AMAZON","PM","18%","4819"
"PM24-Solimo Premium Almond 250 gm","PM","Packaging","Monocarton ","0.000","AMAZON","PM","18%","4819"
"PM24-Solimo Premium Pine Nuts Unshelled (Chilgoza) 250 gm","PM","Packaging","Monocarton ","0.000","AMAZON","PM","18%","4819"
"PM24-Solimo Premium Raisins 250 gm","PM","Packaging","Monocarton ","0.000","AMAZON","PM","18%","4819"
"PM24-Solimo  Walnut Kernels (Broken) 500 gm","PM","Packaging","Monocarton ","0.000","AMAZON","PM","18%","4819"
"PM24-South Georgia Pecanuts Roasted 500 gm","PM","Packaging","Pouch","0.000","BIG BASKET","PM","18%","(39232990)"
"PM24-Spar Berries Mix Label 100 gm","PM","Packaging","Label","0.000","SPAR","PM","18%",""
"PM24-Spar Pet Label s Dry Fruit & Berry Mix Label 100 gm","PM","Packaging","Label","0.000","SPAR","PM","18%",""
"PM24-Spar Pet Label s Nuts, Berry & Seed Mix Label 100 gm","PM","Packaging","Label","0.000","SPAR","PM","18%",""
"PM24-Spar Pet Label s Nuts & Seed Mix Label 100 gm","PM","Packaging","Label","0.000","SPAR","PM","18%",""
"PM24-Spar Pet Label s Roasted Salted Almond Label 100 gm","PM","Packaging","Label","0.000","SPAR","PM","18%",""
"PM24-Spar Pet Label s Seed Mix Roasted Label 100 gm","PM","Packaging","Label","0.000","SPAR","PM","18%",""
"PM24-Spar Pistachio Pouch 500 gm","PM","Packaging","Pouch","0.000","SPAR","PM","18%","3923"
"PM24-Spar Plain Green Pouch 500 gm","PM","Packaging","Pouch","0.000","SPAR","PM","18%","3923"
"PM24-Spar Selecta 350x250 mm Pouch 500 gm","PM","Packaging","Pouch","0.000","SPAR","PM","18%","3923"
"PM24-Spar Select Almond 120*225Mm 500 gm Pouch","PM","Packaging","Pouch","0.000","SPAR","PM","18%","39232990"
"PM24-Spar Select Californian Pistachio 120*225mm 500gm Pouch","PM","Packaging","Pouch","0.000","SPAR","PM","18%","39232990"
"PM24-Spar Select Cashew 120*225mm 500gm Pouch","PM","Packaging","Pouch","0.000","SPAR","PM","18%","39232990"
"PM24-Spar Select Pouch 500 G B Spar Select Almond","PM","Packaging","Pouch","0.000","SPAR","PM","18%","08021200"
"PM24-Spar Select Pouch 500 G B Spar Select California Pista","PM","Packaging","Pouch","0.000","SPAR","PM","18%","38239090"
"PM24-Special Offer Card 2 gm","PM","Packaging","Card","0.000","HOH/Common","PM","18%","4819"
"PM24-Square Blister 250 gm","PM","Packaging","Blister","0.000","GENERAL","PM","18%","39232990"
"PM24-STAR BAZAAR LAMINATE ROLL (280mm X 175mm)","PM","Packaging","Pouch Roll","0.000","Star Bazar","PM","18%","39202090"
"PM24-STAR BAZAAR LAMINATE ROLL (375mm X 200mm)500gm","PM","Packaging","Roll","0.000","Star Bazar","PM","18%","39202090"
"PM24-Star Bazar Laminate Pouch 100g (280x125mm) Cen","PM","Packaging","Pouch","0.000","Star Bazar","PM","18%","39232990"
"PM24-Star Bazar Laminate Pouch 1KG (375x285mm) Cen seal","PM","Packaging","Pouch","0.000","Star Bazar","PM","18%","39232990"
"PM24-Star Bazar Laminate Pouch 250g (280x175mm) Cen","PM","Packaging","Pouch","0.000","Star Bazar","PM","18%","39232990"
"PM24-Star Bazar Laminate Pouch 500g (375x200mm) Cen","PM","Packaging","Pouch","0.000","Star Bazar","PM","18%","39232990"
"PM24-Star Bazar Laminate Pouch 500g (375x230mm) Cen","PM","Packaging","Pouch","0.000","Star Bazar","PM","18%","39232990"
"PM24-Steel 100 Gm Pet Cap 100 gm (old)","PM","Packaging","Cap","0.000","GENERAL","PM","18%","39232990"
"PM24-Stereo Development Charges - Carton","PM","Packaging","Carton","0.000","RELIANCE","PM","18%","99892"
"PM24-Stretch Film 450 mm","PM","Packaging","Roll","0.000","GENERAL","PM","18%","39201011"
"PM24-Sun Pharma Yoga Bar Monocarton 400 g","PM","Packaging","Monocarton","0.000","SunPharma","PM","18%","48211090"
"PM24-Super Saver 1000 gm","PM","Packaging","Pouch","0.000","Flipkart","PM","18%","3923"
"PM24-Super Saver 6 x8x300 Gm 300 gm","PM","Packaging","Pouch","0.000","Flipkart","PM","18%","3923"
"PM24-Super Saver 7 x10x500 Gm 500 gm","PM","Packaging","Pouch","0.000","Flipkart","PM","18%","3923"
"PM24-Taali Nimboo Pudina Peanut Pouch 150 gm","PM","Packaging","Roll","0.000","Taali","PM","18%","3923"
"PM24-Taali Nimboo Spice Masala Peanut Pouch 150 gm","PM","Packaging","Roll","0.000","Taali","PM","18%","3923"
"PM24-Tape Double Tape","PM","Packaging","Tape","0.000","GENERAL","PM","18%","39199090"
"PM24 - Tasties Barbeque Makhana Pouch Roll 25 gm","PM","Packaging","Pouch Roll","0.000","BIG BASKET","PM","18%","3920"
"PM24 - Tasties Cheese Makhana Pouch Roll 25 gm","PM","Packaging","Pouch Roll","0.000","BIG BASKET","PM","18%","3920"
"PM24-Tasties Chilli Almonds-Flavourful & Crunchy 75 G","PM","Packaging","Monocarton","0.000","BIG BASKET","PM","18%","08021200"
"PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red)","PM","Packaging","Pouch Roll","0.000","BIG BASKET","PM","18%","3920"
"PM24-Tasties Honey Almond-Flavourful & Crunchy-75 gm","PM","Packaging","Monocarton","0.000","BIG BASKET","PM","18%","20081990"
"PM24-Tasties Lemon Pepper Cashew-Flavourful & Crunchy 75 G","PM","Packaging","Monocarton","0.000","BIG BASKET","PM","18%","4819"
"PM24-Tasties Mixed Berries Trail Mix 75 G","PM","Packaging","Monocarton","0.000","BIG BASKET","PM","18%","4819"
"PM24-Tasties Mixed Dry Fruits Trail Mix 75 G","PM","Packaging","Monocarton","0.000","BIG BASKET","PM","18%","48191090"
"PM24 - Tasties Peri Peri Makhana Pouch Roll 25 gm","PM","Packaging","Pouch Roll","0.000","BIG BASKET","PM","18%","3920"
"PM24-Tasties Pink Salted Pistachio-Flavourful & Crunchy 75 G","PM","Packaging","Monocarton","0.000","BIG BASKET","PM","18%","48191090"
"PM24 - Tasties Pudina Makhana Pouch Roll 25 gm","PM","Packaging","Pouch Roll","0.000","BIG BASKET","PM","18%","3920"
"PM24 - Tasties Pudina Pathaka Peanut Pouch Roll 25 gm","PM","Packaging","Pouch Roll","0.000","BIG BASKET","PM","18%","3920"
"PM24 - Tasties Tandoori Makhana Pouch Roll 25 gm","PM","Packaging","Pouch Roll","0.000","BIG BASKET","PM","18%","3920"
"PM24 - Tasties Tandoori Masala Peanut Pouch Roll 25 gm","PM","Packaging","Pouch Roll","0.000","BIG BASKET","PM","18%","3920"
"PM24 - Tasties Thai Spice Peanut Pouch Roll 25 gm","PM","Packaging","Pouch Roll","0.000","BIG BASKET","PM","18%","3920"
"PM24-Tasties Trail Mix-Wholesome Nut Mix 75 G","PM","Packaging","Monocarton","0.000","BIG BASKET","PM","18%","20081990"
"PM24-Tea Bites 30 gm","PM","Packaging","Roll","0.000","HOH/Common","PM","18%","3920"
"PM24-Tea Bites Pouch Medium 30 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","3923"
"PM24-Tea Bites Small 30 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","3923"
"PM24-The Date Co. Blue Sleeve 250 gm","PM","Packaging","Sleeve","0.000","HOH/Common","PM","18%","48211010"
"PM24-The Date Co. Blue Sleeve 500 gm","PM","Packaging","Sleeve","0.000","HOH/Common","PM","18%","48211010"
"PM24-The Date Co. Brown Sleeve 250 gm","PM","Packaging","Sleeve","0.000","HOH/Common","PM","18%","4821"
"PM24-The Date Co. Brown Sleeve 500 gm","PM","Packaging","Sleeve","0.000","HOH/Common","PM","18%","08041090"
"PM24-The Date Co. Pink Sleeve 250 gm","PM","Packaging","Sleeve","0.000","HOH/Common","PM","18%","48211010"
"PM24-The Date Co. Pink Sleeve 500 gm","PM","Packaging","Sleeve","0.000","HOH/Common","PM","18%","48211090"
"PM24-The Date Co. Yellow Sleeve 250 gm","PM","Packaging","Sleeve","0.000","HOH/Common","PM","18%","48211010"
"PM24-The Date Co. Yellow Sleeve 500 gm","PM","Packaging","Sleeve","0.000","HOH/Common","PM","18%","48211010"
"PM24-Transparent Laminate Roll","PM","Packaging","Roll","0.000","GENERAL","PM","18%","3920"
"PM24-Triangular PP Pouch 50 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","3923"
"PM24-Tub Rectangular Blister 150*100*32mm-Container Pl Transparent 200 gm","PM","Packaging","Tub Lid","0.000","GENERAL","PM","18%","39233090"
"PM24-Turkey Apricots Pouch (Reliance-unbranded) 200 gm","PM","Packaging","Pouch","0.000","RELIANCE","PM","18%","39232990"
"PM24 - Unprinted Bopp Tape 100 gm","PM","Packaging","Tape","0.000","GENERAL","PM","18%","39199090"
"PM24-Urban Platter Roasted Makhana Wasabi 40G 40 gm","PM","Packaging","Tin","0.000","Istore","PM","18%","48191090"
"PM24-Vacuum 240x260mm (Common)- 110 Micron 500 gm","PM","Packaging","Pouch","0.000","HOH/Common","PM","18%","48191090"
"PM24-Vacuum 240x260mm (Solimo)- 130 Micron 500 gm","PM","Packaging","Pouch","0.000","AMAZON","PM","18%","39232990"
"PM24-Vacuumed Pouch 210x320mm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39239090"
"PM24-Vacuum Pouch-130 x190mm 100 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39231010"
"PM24-Vacuum Pouch-140 x 240 mm 200 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39231010"
"PM24-Vacuum Pouch 180x240 mm-100 Micron 250 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39239090"
"PM24-Vacuum Pouch 180x240mm - 130 Micron 250 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39232990"
"PM24-Vacuum Pouch 230x360","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39232990"
"PM24-Vacuum Pouch-390 x 575 mm, 60G-125 Micron 5000 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39232990"
"PM24-Vacuum Pouch-510 x 560mm-65 G-125 Micron-10 Kg 10000 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39232990"
"PM24-Vacuum Pouch For 1 Kg-210 x 305mm, 16G-110 Micron (Solimo) 1000 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39232990"
